section_id,year,term,student_count,mean_gpa,median_gpa,sd_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_W
F2023-28,2023,Fall,53,2.808,2.3,0.782,0.2264,0.2264,0.5283,0.0189,0,0
F2023-25,2023,Fall,54,3.3,3.3,0.684,0.4074,0.4074,0.1852,0,0,0
F2023-24,2023,Fall,55,2.976,3,0.651,0.2,0.4727,0.3273,0,0,0
F2023-23,2023,Fall,49,3.098,3,0.683,0.2857,0.4286,0.2857,0,0,0
F2023-22,2023,Fall,54,3.309,3.3,0.702,0.4259,0.3519,0.2222,0,0,0
F2023-21,2023,Fall,54,3.161,3,0.702,0.3333,0.3889,0.2778,0,0,0
F2023-20,2023,Fall,53,3.519,4,0.596,0.5472,0.3396,0.1132,0,0,0
F2023-largeclass,2023,Fall,241,3.298,3.3,0.699,0.4149,0.3817,0.1992,0.0041,0,0
S2023-90,2023,Spring,50,3.202,3.15,0.746,0.4,0.3,0.3,0,0,0
S2023-25,2023,Spring,50,2.938,3,0.707,0.24,0.32,0.44,0,0,0
S2023-20,2023,Spring,86,3.092,3,0.712,0.3023,0.3721,0.3256,0,0,0
S2023-largeclass,2023,Spring,341,3.246,3.3,0.72,0.4135,0.3226,0.2639,0,0,0
F2022-21,2022,Fall,54,3.124,3,0.736,0.3333,0.3519,0.3148,0,0,0
F2022-20,2022,Fall,55,3.056,3,0.788,0.3273,0.3273,0.3273,0.0182,0,0
F2022-largeclass,2022,Fall,252,3.062,3,0.725,0.2976,0.3571,0.3413,0.004,0,0
F2022-23,2022,Fall,54,2.919,3,0.698,0.2222,0.3519,0.4259,0,0,0
S2022-21,2022,Spring,50,3.064,3.3,0.747,0.28,0.36,0.36,0,0,0
S2022-20,2022,Spring,50,3.14,3,0.826,0.36,0.34,0.28,0,0.02,0
S2022-largeclass,2022,Spring,326,3.053,3,0.777,0.3129,0.3466,0.3282,0.0061,0.0061,0
F2021-H1,2021,Fall,28,3.804,4,0.42,0.7857,0.1786,0.0357,0,0,0
F2021-90,2021,Fall,48,3.183,3.15,0.721,0.3542,0.375,0.2708,0,0,0
F2021-largeclass,2021,Fall,357,2.967,3,0.812,0.2885,0.3053,0.3894,0.0084,0.0084,0
F2021-5B,2021,Fall,25,3.12,3,0.717,0.32,0.36,0.32,0,0,0
F2021-5A,2021,Fall,25,2.884,3,0.698,0.2,0.4,0.4,0,0,0
S2021-ALL,2021,Spring,446,3.169,3.3,0.875,0.4036,0.3296,0.2399,0.0045,0.0224,0
F2020-ALL,2020,Fall,485,3.279,3.3,0.734,0.4124,0.3876,0.1876,0.0082,0.0041,0
S2020-21,2020,Spring,50,3.316,3.3,0.689,0.42,0.38,0.2,0,0,0
S2020-20,2020,Spring,50,3.27,3.3,0.71,0.42,0.34,0.24,0,0,0
S2020-largeclass,2020,Spring,272,3.114,3,0.675,0.2978,0.4265,0.2757,0,0,0
F2019-H1,2019,Fall,23,3.761,4,0.454,0.7391,0.2174,0.0435,0,0,0
F2019-21,2019,Fall,69,2.92,3,1.032,0.2609,0.4348,0.2319,0,0.0725,0
F2019-20,2019,Fall,55,3.024,3,0.673,0.2364,0.4364,0.3273,0,0,0
F2019-largeclass,2019,Fall,359,3.135,3,0.757,0.3287,0.4011,0.2591,0,0.0111,0
S2019-22,2019,Spring,47,3.096,3,0.812,0.383,0.234,0.383,0,0,0
S2019-21,2019,Spring,48,2.898,3,0.921,0.2917,0.2708,0.3958,0.0208,0.0208,0
S2019-20,2019,Spring,49,3.133,3,0.789,0.3878,0.2653,0.3469,0,0,0
S2019-largeclass,2019,Spring,342,3.214,3.3,0.767,0.3977,0.3509,0.2398,0.0058,0.0058,0
F2018-largeclass,2018,Fall,360,3.432,3.3,0.69,0.4806,0.3917,0.1167,0.0028,0.0083,0
F2018-21,2018,Fall,70,3.21,3.3,0.703,0.3286,0.4286,0.2429,0,0,0
F2018-20,2018,Fall,55,3.304,3.3,0.839,0.4364,0.3818,0.1455,0.0182,0.0182,0
S2018-largeclass,2018,Spring,350,3.525,4,0.702,0.5857,0.3171,0.0857,0,0.0114,0
S2018-21,2018,Spring,50,3.412,3.3,0.777,0.48,0.42,0.08,0,0.02,0
S2018-22,2018,Spring,50,3.494,4,0.629,0.54,0.36,0.1,0,0,0